vol,ask,bid,open,close,high,low,start,end
1004777,130830,130815.5,4514.75,4513,4524.75,4492,2023-11-08 08:30:00,2023-11-08 15:30:00
1526058,130798.75,130783.25,4524.5,4479,4530,4475.5,2023-11-09 08:30:00,2023-11-09 15:30:00
1186312,130898.25,130883.75,4491.75,4545,4545.5,4484.75,2023-11-10 08:30:00,2023-11-10 15:30:00
909240,131707.5,131693,4538,4547.75,4553.75,4524.25,2023-11-13 08:30:00,2023-11-13 15:30:00
1370120,133940.5,133923.75,4546.75,4639,4641.25,4537.25,2023-11-14 08:30:00,2023-11-14 15:30:00
1087764,134631.5,134617,4649.25,4640.25,4658.25,4627.75,2023-11-15 08:30:00,2023-11-15 15:30:00
1053510,134298,134283.5,4625.75,4633.5,4643.25,4618.75,2023-11-16 08:30:00,2023-11-16 15:30:00
900607,134659,134644.75,4655.5,4648,4656.5,4629.75,2023-11-17 08:30:00,2023-11-17 15:30:00
806995,135239.75,135225.5,4643,4687,4688,4640.25,2023-11-20 08:30:00,2023-11-20 15:30:00
756512,135306.5,135292,4669.5,4667.75,4672,4654.75,2023-11-21 08:30:00,2023-11-21 15:30:00
1072414,135848.25,135833.75,4677.25,4686,4697.5,4672,2023-11-22 08:30:00,2023-11-22 15:30:00
34667,89072.25,89062.75,4686,4686.75,4689.75,4684.5,2023-11-23 08:30:00,2023-11-23 18:15:00
1092888,229430.5,229406.75,4681.25,4681.75,4688,4672.5,2023-11-27 08:30:00,2023-11-27 15:30:00
1066610,135650.75,135636.5,4665.5,4675,4694.25,4664.5,2023-11-28 08:30:00,2023-11-28 15:30:00
1145842,136141.75,136127.25,4703,4675,4714,4674,2023-11-29 08:30:00,2023-11-29 15:30:00
1373828,135608.25,135593.75,4691.5,4669.75,4695.25,4661.75,2023-11-30 08:30:00,2023-11-30 15:30:00
1413073,136391.5,136377,4684.25,4718.75,4724.75,4679.5,2023-12-01 08:30:00,2023-12-01 15:30:00
1265339,135926.5,135912,4702.75,4687.5,4705.25,4670.5,2023-12-04 08:30:00,2023-12-04 15:30:00
1347329,135941.25,135927.25,4679,4691.75,4702.5,4672.5,2023-12-05 08:30:00,2023-12-05 15:30:00
1284533,136187.75,136173.25,4701,4675.75,4715.5,4674,2023-12-06 08:30:00,2023-12-06 15:30:00
1220414,136289.75,136275.25,4677,4706.75,4713,4674.75,2023-12-07 08:30:00,2023-12-07 15:30:00
1098377,136658,136643.5,4698.25,4727,4728.5,4678.75,2023-12-08 08:30:00,2023-12-08 15:30:00
764817,137155.5,137141,4720.5,4736.5,4740.5,4717.25,2023-12-11 08:30:00,2023-12-11 15:30:00
857945,137660.25,137646,4748.5,4761.5,4762,4726.5,2023-12-12 08:30:00,2023-12-12 15:30:00
