vol,ask,bid,open,close,high,low,start,end,tendencia,d,condicion,pasa_close,pasa_d2
1501912.0,38764.25,38750.75,1382.0,1387.0,1389.25,1375.0,2011-03-24 08:30:00,2011-03-24 15:45:00,1,8.0,0.0,0,0
2520135.0,78064.5,78037.5,1394.25,1385.5,1397.75,1384.5,2011-03-28 08:30:00,2011-03-28 15:45:00,-1,7.25,0.0,0,0
1316646.0,38996.5,38982.75,1387.0,1399.75,1400.25,1382.75,2011-03-29 08:30:00,2011-03-29 15:45:00,1,1.5,1.0,1,1
1149910.0,39396.5,39383.25,1404.75,1406.5,1410.25,1402.0,2011-03-30 08:30:00,2011-03-30 15:45:00,1,5.0,0.0,0,0
1319517.0,39384.75,39371.5,1403.5,1404.0,1408.25,1403.0,2011-03-31 08:30:00,2011-03-31 15:45:00,1,3.0,1.0,1,1
1386836.0,40984.0,40970.0,1412.5,1410.0,1416.25,1406.75,2011-04-01 08:30:00,2011-04-01 15:30:00,-1,8.5,0.0,0,0
1118163.0,39517.25,39503.75,1413.0,1412.0,1415.25,1407.25,2011-04-04 08:30:00,2011-04-04 15:45:00,-1,3.0,1.0,1,1
1346131.0,39571.5,39557.5,1407.75,1409.25,1416.75,1407.75,2011-04-05 08:30:00,2011-04-05 15:45:00,1,4.25,0.0,0,0
1430462.0,39594.0,39580.5,1416.5,1411.75,1418.25,1409.25,2011-04-06 08:30:00,2011-04-06 15:45:00,-1,7.25,0.0,0,0
1961471.0,39529.25,39515.5,1412.25,1411.25,1417.75,1404.75,2011-04-07 08:30:00,2011-04-07 15:45:00,-1,0.5,1.0,1,1
3023077.0,78891.0,78863.5,1408.5,1402.25,1418.25,1399.5,2011-04-11 08:30:00,2011-04-11 15:45:00,-1,2.75,0.0,0,0
1781550.0,38995.75,38982.5,1395.25,1390.75,1398.0,1387.75,2011-04-12 08:30:00,2011-04-12 15:45:00,-1,7.0,0.0,0,0
1653214.0,39034.75,39020.75,1399.5,1391.5,1400.0,1387.5,2011-04-13 08:30:00,2011-04-13 15:45:00,-1,8.75,1.0,1,1
1711566.0,38916.0,38902.75,1384.5,1392.5,1395.75,1380.75,2011-04-14 08:30:00,2011-04-14 15:45:00,1,7.0,0.0,0,0
3245684.0,77795.75,77768.0,1385.0,1381.75,1401.75,1372.75,2011-04-18 08:30:00,2011-04-18 15:45:00,-1,7.5,1.0,1,1
1277692.0,40240.0,40225.5,1385.75,1391.0,1392.0,1382.25,2011-04-19 08:30:00,2011-04-19 15:30:00,1,4.0,1.0,0,1
1511721.0,39452.0,39439.25,1408.25,1415.0,1413.0,1405.75,2011-04-20 08:30:00,2011-04-20 15:45:00,1,17.25,0.0,0,0
1516421.0,79215.25,79188.0,1415.5,1414.0,1417.25,1409.75,2011-04-25 08:30:00,2011-04-25 15:45:00,-1,0.5,0.0,0,0
1199161.0,39901.0,39887.25,1419.25,1424.5,1428.75,1417.0,2011-04-26 08:30:00,2011-04-26 15:45:00,1,5.25,1.0,0,0
1222022.0,39989.75,39975.75,1428.75,1434.0,1436.75,1422.75,2011-04-27 08:30:00,2011-04-27 15:45:00,1,4.25,0.0,0,0
1482474.0,40217.0,40203.75,1431.5,1437.0,1441.0,1431.0,2011-04-28 08:30:00,2011-04-28 15:45:00,1,2.5,1.0,1,1
1486988.0,41885.75,41871.75,1449.0,1440.25,1449.75,1437.25,2011-05-02 08:30:00,2011-05-02 15:30:00,-1,12.0,0.0,0,0
1449948.0,40196.0,40182.25,1436.0,1433.25,1439.75,1428.25,2011-05-03 08:30:00,2011-05-03 15:45:00,-1,4.25,0.0,0,0
2132538.0,39948.0,39934.0,1434.75,1427.0,1435.25,1420.0,2011-05-04 08:30:00,2011-05-04 15:45:00,-1,1.5,1.0,1,1
2553081.0,39777.0,39763.0,1416.75,1417.5,1427.25,1407.75,2011-05-05 08:30:00,2011-05-05 15:45:00,1,10.25,0.0,0,0
1339516.0,40140.5,40126.75,1429.25,1436.75,1439.0,1427.75,2011-05-10 08:30:00,2011-05-10 15:45:00,1,11.75,0.0,0,0
1993827.0,39906.75,39892.75,1435.75,1420.5,1436.0,1415.5,2011-05-11 08:30:00,2011-05-11 15:45:00,-1,1.0,1.0,0,0
1915850.0,39844.25,39830.25,1417.75,1429.75,1431.25,1411.25,2011-05-12 08:30:00,2011-05-12 15:45:00,1,2.75,0.0,0,0
1982458.0,41217.0,41203.0,1431.0,1416.5,1431.5,1413.0,2011-05-13 08:30:00,2011-05-13 15:30:00,-1,1.25,0.0,0,0
1914508.0,39657.0,39643.0,1414.0,1404.25,1423.75,1407.25,2011-05-16 08:30:00,2011-05-16 15:45:00,-1,2.5,0.0,0,0
1955862.0,39367.75,39354.25,1404.75,1408.75,1411.25,1398.5,2011-05-17 08:30:00,2011-05-17 15:45:00,1,0.5,1.0,1,1
1373770.0,39671.5,39657.5,1409.75,1421.5,1423.0,1407.0,2011-05-18 08:30:00,2011-05-18 15:45:00,1,1.0,0.0,0,0
1560886.0,39843.0,39829.0,1426.25,1424.5,1428.0,1417.0,2011-05-19 08:30:00,2011-05-19 15:45:00,-1,4.75,0.0,0,0
1614363.0,39189.5,39175.75,1402.75,1395.0,1405.0,1394.25,2011-05-24 08:30:00,2011-05-24 15:45:00,-1,21.75,0.0,0,0
1733146.0,40607.75,40594.0,1389.5,1399.0,1407.0,1389.25,2011-05-25 08:30:00,2011-05-25 15:30:00,1,5.5,0.0,0,0
1943204.0,39285.0,39271.25,1397.75,1409.25,1410.0,1395.0,2011-05-26 08:30:00,2011-05-26 15:45:00,1,1.25,1.0,1,1
1183564.0,52293.75,52275.5,1414.25,1414.25,1416.25,1409.25,2011-05-30 08:30:00,2011-05-30 17:15:00,1,5.0,0.0,0,0
1642237.0,39787.5,39773.75,1424.5,1426.75,1428.25,1415.75,2011-05-31 08:30:00,2011-05-31 15:45:00,1,10.25,0.0,0,0
2339112.0,39454.0,39440.25,1421.0,1395.0,1423.5,1393.75,2011-06-01 08:30:00,2011-06-01 15:45:00,-1,5.75,1.0,0,0
2101669.0,39065.0,39051.5,1396.75,1395.25,1399.5,1386.75,2011-06-02 08:30:00,2011-06-02 15:45:00,-1,1.75,1.0,1,1
2175554.0,40178.5,40164.25,1379.25,1378.25,1391.5,1377.5,2011-06-03 08:30:00,2011-06-03 15:30:00,-1,16.0,0.0,0,0
1859379.0,38501.25,38487.5,1378.25,1367.0,1380.75,1365.75,2011-06-06 08:30:00,2011-06-06 15:45:00,-1,0.0,0.0,0,0
1720953.0,38488.5,38475.0,1375.0,1367.5,1378.0,1365.0,2011-06-07 08:30:00,2011-06-07 15:45:00,-1,8.0,1.0,1,1
2124752.0,38208.25,38194.5,1362.75,1358.25,1369.0,1358.75,2011-06-08 08:30:00,2011-06-08 15:45:00,-1,4.75,0.0,0,0
507637.0,38428.0,38414.25,1364.25,1370.0,1376.5,1361.75,2011-06-09 08:30:00,2011-06-09 15:45:00,1,6.0,1.0,0,0
1721787.0,38396.5,38382.75,1366.75,1370.5,1375.0,1365.5,2011-06-14 08:30:00,2011-06-14 15:45:00,1,3.25,1.0,1,1
2828358.0,37904.0,37890.5,1359.75,1348.0,1363.75,1343.75,2011-06-15 08:30:00,2011-06-15 15:45:00,-1,10.75,1.0,0,0
